population,alpha,beta,amplitude,period
500,100.000000,10.000000,0.0,-1.0
500,1.000000,10000.000000,0.0,-1.0
500,10.000000,0.010000,0.044161,389.602484
500,0.100000,1000.000000,0.0,-1.0
500,10.000000,10000.000000,0.0,-1.0
500,0.000100,1000.000000,0.0,-1.0
500,0.000010,1.000000,0.0,-1.0
500,0.001000,0.001000,0.007460,296.552036
500,100.000000,0.000010,0.006056,291.400000
500,0.010000,1000.000000,0.0,-1.0
500,0.100000,10.000000,0.0,-1.0
500,0.100000,10000.000000,0.0,-1.0
500,1000.000000,1.000000,0.0,-1.0
500,0.000100,10.000000,0.0,-1.0
500,0.000100,0.000010,0.009035,276.626016
500,10.000000,0.100000,0.027169,412.297297
500,0.000010,1000.000000,0.0,-1.0
500,0.000100,0.000100,0.005204,242.331950
500,0.000010,100.000000,0.0,-1.0
500,0.000100,0.010000,0.012358,325.476190
500,0.100000,0.001000,0.017931,306.543689
500,0.000010,10.000000,0.0,-1.0
500,0.100000,0.000100,0.010032,292.346667
500,10.000000,1000.000000,0.0,-1.0
500,0.000010,10000.000000,0.0,-1.0
500,1.000000,0.001000,0.007191,311.226519
500,1.000000,0.010000,0.046915,391.007299
500,100.000000,100.000000,0.0,-1.0
500,0.100000,0.100000,0.041624,415.424658
500,100.000000,0.001000,0.016111,292.287081
500,0.001000,0.000100,0.007024,341.788991
500,10000.000000,1.000000,0.0,-1.0
500,10.000000,0.000010,0.007453,301.450450
500,1.000000,0.000010,0.013498,439.452632
500,0.100000,0.000010,0.017990,224.866071
500,0.010000,0.000010,0.022118,302.261682
500,100.000000,0.000100,0.011677,388.759259
500,0.000010,0.001000,0.016185,274.679426
500,0.100000,1.000000,0.0,-1.0
500,1.000000,0.000100,0.010527,388.412556
500,0.001000,0.010000,0.014056,410.750000
500,10000.000000,0.010000,0.0,-1.0
500,1000.000000,10.000000,0.0,-1.0
500,0.001000,100.000000,0.0,-1.0
500,1000.000000,0.001000,0.005261,261.690821
500,10000.000000,1000.000000,0.0,-1.0
500,10.000000,100.000000,0.0,-1.0
500,1000.000000,10000.000000,0.0,-1.0
500,0.000010,0.010000,0.016577,421.696552
500,1.000000,10.000000,0.0,-1.0
500,1.000000,100.000000,0.0,-1.0
50,10.000000,0.100000,0.040949,382.687500
50,0.000100,100.000000,0.0,-1.0
50,0.010000,10000.000000,0.0,-1.0
50,0.100000,1000.000000,0.0,-1.0
50,0.100000,0.000100,0.015117,240.818182
50,10000.000000,0.001000,0.012073,409.910448
50,0.001000,0.100000,0.064335,398.322581
50,0.010000,1000.000000,0.0,-1.0
50,0.010000,0.000010,0.006842,411.076923
50,10.000000,10.000000,0.0,-1.0
50,0.000100,10000.000000,0.0,-1.0
50,0.000010,1000.000000,0.0,-1.0
50,0.100000,1.000000,0.0,-1.0
50,0.000010,10000.000000,0.000000,297.200000
50,0.001000,1.000000,0.004478,96.000000
50,1.000000,1000.000000,0.0,-1.0
50,0.100000,0.001000,0.005559,309.376623
50,100.000000,10.000000,0.0,-1.0
50,100.000000,0.001000,0.010769,508.774194
50,10.000000,0.001000,0.007564,397.024390
50,0.100000,10.000000,0.0,-1.0
50,1.000000,0.010000,0.008261,366.821429
50,10000.000000,0.010000,0.020358,329.966667
50,0.000010,0.001000,0.021100,476.779221
50,1.000000,10.000000,0.0,-1.0
50,0.010000,10.000000,0.0,-1.0
50,10.000000,0.000010,0.056820,362.477612
50,0.000010,1.000000,0.0,-1.0
50,1000.000000,0.010000,0.016612,355.562500
50,0.000010,0.010000,0.012031,381.830508
50,1000.000000,1.000000,0.0,-1.0
50,10.000000,0.000100,0.043425,314.819277
50,0.001000,0.010000,0.010037,402.711864
50,0.000010,100.000000,0.0,-1.0
50,10000.000000,0.100000,0.0,-1.0
50,100.000000,0.100000,0.099663,293.944444
50,0.001000,1000.000000,0.0,-1.0
50,1000.000000,10000.000000,0.000000,11.611111
50,0.000100,0.100000,0.054215,659.416667
50,10000.000000,1.000000,0.0,-1.0
50,10.000000,1000.000000,0.0,-1.0
